productId,oldImageUrl,newImageUrl,source,confidence,matchedName
staples-aashirvaad-atta-5kg,https://picsum.photos/seed/staples-aashirvaad-atta-5kg/300/300,,unmatched,none,
staples-aashirvaad-atta-10kg,https://picsum.photos/seed/staples-aashirvaad-atta-10kg/300/300,,unmatched,none,
staples-aashirvaad-atta-1kg,https://picsum.photos/seed/staples-aashirvaad-atta-1kg/300/300,,unmatched,none,
staples-aashirvaad-multigrain-5kg,https://picsum.photos/seed/staples-aashirvaad-multigrain-5kg/300/300,,unmatched,none,
staples-aashirvaad-select-5kg,https://picsum.photos/seed/staples-aashirvaad-select-5kg/300/300,,unmatched,none,
staples-pillsbury-atta-5kg,https://picsum.photos/seed/staples-pillsbury-atta-5kg/300/300,,unmatched,none,
staples-pillsbury-atta-10kg,https://picsum.photos/seed/staples-pillsbury-atta-10kg/300/300,,unmatched,none,
staples-fortune-atta-5kg,https://picsum.photos/seed/staples-fortune-atta-5kg/300/300,,unmatched,none,
staples-fortune-atta-10kg,https://picsum.photos/seed/staples-fortune-atta-10kg/300/300,,unmatched,none,
staples-patanjali-atta-5kg,https://picsum.photos/seed/staples-patanjali-atta-5kg/300/300,,unmatched,none,
